,NDC Description,Potential Dispensed Days,Risk Factor,Rolling Window Days,Mean of Rolling Sum,STD. Of Rolling Sum,Actual Dispensed Days,Recommended Min Level,Recommended Max Level
240,Mucinex ER 600 mg/12 hour tablet,92,1,5,392.62820512820514,281.7534663806567,34,392.62820512820514,674.3816715088618
241,estradiol 1 mg tablet,92,1,5,98.86363636363636,43.198616961652554,11,98.86363636363636,142.0622533252889
242,amoxicillin 400 mg/5 mL oral suspension [100mL],92,1,5,281.8181818181818,129.22978255934925,14,281.8181818181818,411.04796437753106
243,ibuprofen 800 mg tablet,92,1,5,390.97701149425285,194.53898856022343,51,390.97701149425285,585.5160000544763
244,citalopram 40 mg tablet,92,1,5,148.0327868852459,65.69676988840848,18,148.0327868852459,213.7295567736544
245,sertraline 50 mg tablet,92,1,5,521.3793103448276,227.89829644042766,55,521.3793103448276,749.2776067852552
246,methylphenidate ER 54 mg/24 hour tablet,92,1,5,62.69230769230769,38.67378360674759,6,62.69230769230769,101.36609129905528
247,metoclopramide 5 mg tablet,92,1,5,120.0,63.245553203367585,2,120.0,183.2455532033676
248,cetirizine 1 mg/mL oral solution [120mL],92,1,5,634.4155844155844,373.2788343517254,39,634.4155844155844,1007.6944187673098
249,Fortesta 10 mg/0.5 g gel pump [60g],92,1,5,190.9090909090909,120.41884944102108,18,190.9090909090909,311.327940350112
250,eszopiclone 2 mg tablet,92,1,5,30.0,0.0,2,30.0,30.0
251,Refresh Plus 0.5% (PF) eye drops UD [50EA],92,1,5,251.8987341772152,184.9190810512498,31,251.8987341772152,436.817815228465
252,NIFEdipine CC 30 mg tablet,92,1,5,144.8780487804878,99.70260656621552,11,144.8780487804878,244.58065534670334
253,Spiriva Respimat 2.5 mcg inhaler (4g),92,1,5,9.583333333333334,4.574830927387853,11,9.583333333333334,14.158164260721186
254,Vanicream cream [454g],92,1,5,938.2666666666667,570.0505746490023,25,938.2666666666667,1508.317241315669
255,SUMAtriptan 25 mg tablet,92,1,5,23.448979591836736,19.987559906612116,15,23.448979591836736,43.43653949844885
256,levothyroxine (Mylan) 25 mcg tablet,92,1,5,90.0,0.0,3,90.0,90.0
257,Premarin 0.625 mg/g vaginal cream [30g],92,1,5,53.68421052631579,37.011397268115466,11,53.68421052631579,90.69560779443125
258,citalopram 10 mg tablet,92,1,5,340.3246753246753,249.10198934099895,36,340.3246753246753,589.4266646656743
259,potassium chloride ER 10 mEq capsule,92,1,5,227.64705882352942,168.53289370291213,18,227.64705882352942,396.1799525264415
260,buPROPion SR 200 mg/12 hour tablet,92,1,5,130.0,81.50372471769093,3,130.0,211.50372471769094
261,doxazosin 2 mg tablet,92,1,5,96.66666666666667,40.00000000000001,9,96.66666666666667,136.66666666666669
262,moisturizing cream (eqv eucerin) [454g],92,1,5,809.6333333333333,365.2302717634852,17,809.6333333333333,1174.8636050968184
263,carvedilol 25 mg tablet,92,1,5,341.71875,220.5588478323707,21,341.71875,562.2775978323707
264,ISOtretinoin (Myorisan) 40 mg capsule,92,1,5,69.76744186046511,29.799997770295803,10,69.76744186046511,99.56743963076092
265,Trulicity Pen 0.75 mg/0.5 mL [4EA],92,1,5,10.35135135135135,4.6151401600362,27,10.35135135135135,14.96649151138755
266,diphenhydrAMINE 25 mg capsule,92,1,5,67.3913043478261,32.921033799125475,6,67.3913043478261,100.31233814695156
267,hydrocortisone 1% cream [28g],92,1,5,65.33333333333333,42.63161438949441,13,65.33333333333333,107.96494772282773
268,Zomig ZMT 2.5 mg ODT (6EA),92,1,5,9.0,3.1622776601683795,2,9.0,12.16227766016838
269,zolpidem 5 mg tablet,92,1,5,91.80851063829788,64.26021769468544,15,91.80851063829788,156.0687283329833
270,fluorouracil 5% cream [40g],92,1,5,42.758620689655174,10.315228591102557,7,42.758620689655174,53.07384928075773
271,Synthroid 88 mcg tablet,92,1,5,208.52941176470588,121.07854477818208,33,208.52941176470588,329.60795654288796
272,FLUoxetine 40 mg capsule,92,1,5,158.9855072463768,117.13673417316029,26,158.9855072463768,276.1222414195371
273,NIFEdipine CC 60 mg tablet,92,1,5,108.62068965517241,44.21733159964657,6,108.62068965517241,152.83802125481898
274,desonide 0.05% cream [60g],92,1,5,73.17073170731707,25.143490647704798,10,73.17073170731707,98.31422235502187
275,aerochamber plus w/mask large,92,1,5,1.0,0.0,1,1.0,1.0
276,Periogard 0.12% Mouthwash [473mL],92,1,5,2804.6117647058823,1549.6113267996138,51,2804.6117647058823,4354.223091505496
277,metFORMIN XR 500 mg/24 hour tablet,92,1,5,740.0,597.7099153077041,5,740.0,1337.7099153077043
278,methocarbamol 500 mg tablet,92,1,5,290.4651162790698,204.09747945957352,36,290.4651162790698,494.56259573864327
279,armodafinil 250 mg tablet,92,1,5,60.833333333333336,25.340537822683594,9,60.833333333333336,86.17387115601693
280,clonazePAM 1 mg tablet,92,1,5,71.05263157894737,29.93592018315036,8,71.05263157894737,100.98855176209773
281,chlorthalidone 25 mg tablet,92,1,5,151.36363636363637,85.97649703237529,24,151.36363636363637,237.34013339601165
282,rOPINIRole 1 mg tablet,92,1,5,263.6363636363636,185.80598385510527,8,263.6363636363636,449.4423474914689
283,pramipexole 0.5 mg tablet,92,1,5,270.0,152.12776585113298,3,270.0,422.12776585113295
284,pioglitazone 30 mg tablet,92,1,5,206.55737704918033,114.24951124478444,24,206.55737704918033,320.8068882939648
285,prazosin 1 mg capsule,92,1,5,61.83673469387755,29.24561714939487,12,61.83673469387755,91.08235184327242
286,ursodiol 300 mg capsule,92,1,5,117.3913043478261,68.83560067979808,5,117.3913043478261,186.22690502762418
287,benzoyl peroxide-clindamycin 5%-1% gel [50g],92,1,5,95.28301886792453,50.25334943237827,17,95.28301886792453,145.5363683003028
288,escitalopram 20 mg tablet,92,1,5,148.30985915492957,101.02313618308229,22,148.30985915492957,249.33299533801187
289,ibuprofen 600 mg tablet,92,1,5,220.3012048192771,112.54633029088657,44,220.3012048192771,332.8475351101637
290,Januvia 50 mg tablet,92,1,5,158.33333333333334,55.10709984049411,16,158.33333333333334,213.44043317382744
291,Lantus SoloStar glargine 100 units/mL [3mL],92,1,5,262.6744186046512,140.78289015865073,58,262.6744186046512,403.4573087633019
292,tiZANidine 2 mg tablet,92,1,5,76.57142857142857,68.8537605083009,7,76.57142857142857,145.42518907972948
293,flecainide 100 mg tablet,92,1,5,180.0,0.0,3,180.0,180.0
294,Sinus rinse NeilMed complete kit [50EA with bottle],92,1,5,150.0,83.78084965689217,17,150.0,233.78084965689217
295,oxymetazoline 0.05% nasal spray [30mL],92,1,5,67.74193548387096,37.60970204609139,21,67.74193548387096,105.35163752996235
296,ondansetron 8 mg tablet,92,1,5,30.18867924528302,22.522686514655533,14,30.18867924528302,52.71136575993855
297,Alrex 0.2% eye drops (suspension) [5mL],92,1,5,5.0,0.0,1,5.0,5.0
298,pregabalin 25 mg capsule,92,1,5,80.0,14.638501094227998,3,80.0,94.63850109422799
299,celecoxib 100 mg capsule,92,1,5,388.95348837209303,210.04777646871867,39,388.95348837209303,599.0012648408117
300,primaquine 26.3 mg (15 mg base) tablet,92,1,5,33.6,11.490957543353728,5,33.6,45.09095754335373
301,ARIPiprazole 15 mg tablet,92,1,5,67.5,23.717082451262844,2,67.5,91.21708245126284
302,buPROPion SR 150 mg/12 hour tablet,92,1,5,209.53125,123.43791817289022,21,209.53125,332.96916817289025
303,tretinoin 0.025% cream [20g],92,1,5,75.5223880597015,37.62991967592842,25,75.5223880597015,113.15230773562992
304,benzoyl peroxide 5% topical liquid [237g],92,1,5,258.54545454545456,71.45818866492998,3,258.54545454545456,330.00364321038455
305,ciprofloxacin 250 mg tablet,92,1,5,21.764705882352942,14.015747446019004,4,21.764705882352942,35.78045332837195
306,sulfacetamide sodium-sulfur 10%-5% cleanser [170.3g],92,1,5,303.5782608695654,71.82252088258147,5,303.5782608695654,375.4007817521468
307,timolol maleate 0.5% eye drops [15mL],92,1,5,15.0,0.0,2,15.0,15.0
308,Aimovig 70 mg/1 mL Inj (1mL),92,1,5,1.0,0.0,3,1.0,1.0
309,methotrexate 2.5 mg tablet,92,1,5,113.80357142857143,68.43906902370288,18,113.80357142857143,182.24264045227432
310,celecoxib 200 mg capsule,92,1,5,420.0,214.6901421650681,47,420.0,634.6901421650681
311,trospium ER 60 mg/24 hour capsule,92,1,5,90.0,0.0,3,90.0,90.0
312,Refresh Celluvisc 1% (PF) eye drops UD [30EA],92,1,5,30.0,0.0,2,30.0,30.0
313,carbamide peroxide 6.5% ear drops [15mL],92,1,5,30.97826086956522,9.166337279984562,10,30.97826086956522,40.14459814954978
314,Ciprodex 0.3%-0.1% ear drops (suspension) [7.5mL],92,1,5,7.702702702702703,1.2329924047901808,9,7.702702702702703,8.935695107492883
315,benzoyl peroxide 10% topical liquid [227g],92,1,5,385.7142857142857,152.59778285851118,12,385.7142857142857,538.3120685727969
316,Rocklatan 0.005%-0.02% eye drops [2.5 mL],92,1,5,8.0,0.0,1,8.0,8.0
317,hydroCHLOROthiazide-telmisartan 25 mg-80 mg tablet,92,1,5,157.37704918032787,64.02868209753767,19,157.37704918032787,221.40573127786553
318,pravastatin 40 mg tablet,92,1,5,157.16417910447763,76.05432608079438,20,157.16417910447763,233.21850518527202
319,latanoprost 0.005% eye drops [2.5mL],92,1,5,10.513698630136986,5.8712887821559505,24,10.513698630136986,16.384987412292936
320,metFORMIN 850 mg tablet,92,1,5,170.0,91.31227209133917,7,170.0,261.3122720913392
321,NovoLOG Mix FlexPen 70/30 [3mL],92,1,5,22.5,7.694837640638656,4,22.5,30.194837640638656
322,QUEtiapine 200 mg tablet,92,1,5,50.0,37.14835124201342,5,50.0,87.14835124201342
323,propranolol 10 mg tablet,92,1,5,186.66666666666666,171.33045349203195,19,186.66666666666666,357.99712015869864
324,montelukast 5 mg chew tablet,92,1,5,159.06976744186048,112.92251775713866,12,159.06976744186048,271.9922851989991
325,LaMICtal 25 mg tablet,92,1,5,156.25,131.99975822028148,11,156.25,288.2497582202815
326,LaMICtal 200 mg tablet,92,1,5,136.0,89.38872875025244,7,136.0,225.38872875025243
327,betamethasone dipropionate (aug) 0.05% cream [50g],92,1,5,50.0,0.0,1,50.0,50.0
328,levothyroxine (Mylan) 75 mcg tablet,92,1,5,67.5,23.717082451262844,2,67.5,91.21708245126284
329,acyclovir 800 mg tablet,92,1,5,75.9090909090909,19.547145804206533,3,75.9090909090909,95.45623671329744
330,fenofibrate 160 mg tablet,92,1,5,160.71428571428572,102.56451881367417,17,160.71428571428572,263.2788045279599
331,rosuvastatin 20 mg tablet,92,1,5,319.94117647058823,144.75450095322935,39,319.94117647058823,464.6956774238176
332,Synthroid 137 mcg tablet,92,1,5,152.93103448275863,85.25727052784669,18,152.93103448275863,238.18830501060532
333,hydrOXYzine hydrochloride 25 mg tablet,92,1,5,268.1927710843373,223.7558805784709,34,268.1927710843373,491.94865166280823
334,metoprolol tartrate 50 mg tablet,92,1,5,322.03125,188.92494257924608,22,322.03125,510.9561925792461
335,promethazine 25 mg tablet,92,1,5,35.5,36.96951829573747,14,35.5,72.46951829573747
336,triamcinolone 0.025% cream [15g],92,1,5,45.535714285714285,30.952152013805353,6,45.535714285714285,76.48786629951964
337,Adderall XR 20 mg capsule,92,1,5,164.3877551020408,124.32665581820648,16,164.3877551020408,288.7144109202473
338,oxybutynin ER 10 mg/24 hour tablet,92,1,5,141.42857142857142,83.29165624478841,15,141.42857142857142,224.72022767335983
339,Synthroid 112 mcg tablet,92,1,5,240.75,119.93642830867958,35,240.75,360.6864283086796
340,amLODIPine 2.5 mg tablet,92,1,5,161.11111111111111,92.93265296665854,17,161.11111111111111,254.04376407776965
341,Prevident 5000 Plus Mint 1.1% dental cream [51g],92,1,5,227.67857142857142,121.21823004119523,36,227.67857142857142,348.8968014697666
342,polyethylene glycol 3350 Susp [510g],92,1,5,2240.3571428571427,1198.0661590724576,42,2240.3571428571427,3438.4233019296003
343,Droplet pen needles 32g 4mm [100EA],92,1,5,315.87301587301585,213.42547933143913,17,315.87301587301585,529.298495204455
344,nortriptyline 25 mg capsule,92,1,5,264.70588235294116,107.76813345435325,4,264.70588235294116,372.4740158072944
345,simvastatin 40 mg tablet,92,1,5,240.0,150.85470777255463,6,240.0,390.85470777255466
346,glimepiride 4 mg tablet,92,1,5,81.81818181818181,29.902438766024495,5,81.81818181818181,111.7206205842063
347,alcohol prep pad [100EA],92,1,5,662.5,370.2120500811886,36,662.5,1032.7120500811886
348,baclofen 20 mg tablet,92,1,5,157.64705882352942,108.15417792766287,8,157.64705882352942,265.8012367511923
349,bacitracin-poly B 500-10000 units/g eye ointment [3.5g],92,1,5,3.5,0.0,1,3.5,3.5
350,erythromycin 0.5% eye ointment [3.5g],92,1,5,4.722222222222222,1.61441915447916,9,4.722222222222222,6.336641376701382
351,dexamethasone/neomycin/poly B 1-3.5-10000 eye susp [5mL],92,1,5,5.0,0.0,1,5.0,5.0
352,ciprofloxacin 0.3% eye drops [5mL],92,1,5,5.0,0.0,2,5.0,5.0
353,Apri (desogetrel/EE) 0.15/0.03 tablet (28),92,1,5,132.22222222222223,64.28571843552223,4,132.22222222222223,196.50794065774446
354,felodipine ER 5 mg/24 hour tablet,92,1,5,97.5,25.227535976162464,8,97.5,122.72753597616247
355,pravastatin 20 mg tablet,92,1,5,156.12244897959184,87.6740251949091,13,156.12244897959184,243.79647417450093
356,zolpidem 10 mg tablet,92,1,5,75.56603773584905,66.05257504849457,16,75.56603773584905,141.6186127843436
357,NovoLOG aspart 100 units/mL [10mL],92,1,5,132.8985507246377,93.44865607058306,21,132.8985507246377,226.34720679522076
358,hydrocodone-acetaminophen 7.5 mg-325 mg tablet,92,1,5,15.142857142857142,5.041841733655161,7,15.142857142857142,20.184698876512304
359,pregabalin 50 mg capsule,92,1,5,130.95744680851064,77.65334267191662,11,130.95744680851064,208.61078948042726
360,hydroCHLOROthiazide 50 mg tablet,92,1,5,85.34482758620689,18.41636667685445,6,85.34482758620689,103.76119426306134
361,cloNIDine 0.2 mg tablet,92,1,5,168.75,79.65550828411052,4,168.75,248.4055082841105
362,Levora (levonorgestrel/EE) 0.15/0.03 tablet (28),92,1,5,135.54545454545453,72.95090880268336,12,135.54545454545453,208.4963633481379
363,econazole 1% cream [30g],92,1,5,60.0,31.622776601683793,2,60.0,91.6227766016838
364,indapamide 1.25 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
365,levETIRAcetam 100 mg/mL Soln-Oral [473mL],92,1,5,120.0,0.0,2,120.0,120.0
366,NuvaRing (etonogestrel/EE) 0.12/0.015 vaginal ring,92,1,5,5.423728813559322,2.6535817682995972,19,5.423728813559322,8.077310581858919
367,triamcinolone 0.5% cream [15g],92,1,5,55.3125,50.60819613589317,8,55.3125,105.92069613589317
368,sodium bicarbonate 650 mg tablet,92,1,5,187.3170731707317,93.1403347171327,11,187.3170731707317,280.4574078878644
369,estradiol 2 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
370,levETIRAcetam (Keppra) XR 500 mg tablet,92,1,5,225.0,47.43416490252569,2,225.0,272.4341649025257
371,lisinopril 30 mg tablet,92,1,5,132.35294117647058,59.59758097233485,9,132.35294117647058,191.95052214880542
372,dicyclomine 10 mg capsule,92,1,5,135.26315789473685,119.9244401489089,5,135.26315789473685,255.18759804364575
373,Adderall XR 10 mg capsule,92,1,5,94.41176470588235,62.43402164544206,14,94.41176470588235,156.84578635132442
374,modafinil 200 mg tablet,92,1,5,69.87179487179488,53.969864635729074,8,69.87179487179488,123.84165950752396
375,glimepiride 2 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
376,metoprolol tartrate 25 mg tablet,92,1,5,280.2631578947368,178.54764954458162,27,280.2631578947368,458.8108074393184
377,Eliquis 2.5 mg tablet,92,1,5,197.14285714285714,97.78499251881529,6,197.14285714285714,294.92784966167244
378,ISOtretinoin (Myorisan) 30 mg capsule,92,1,5,70.0,28.60387767736777,11,70.0,98.60387767736776
379,propranolol 20 mg tablet,92,1,5,228.33333333333334,197.4769425961998,9,228.33333333333334,425.81027592953313
380,Anoro Ellipta 62.5-25 mcg inhaler (60EA/30 Doses),92,1,5,100.0,55.452682532047085,7,100.0,155.45268253204708
381,terbinafine 250 mg tablet,92,1,5,62.78048780487805,36.369294875706586,11,62.78048780487805,99.14978268058464
382,dorzolamide-timolol 2.23%-0.68% eye drops [10mL],92,1,5,17.5,4.4426165831931925,4,17.5,21.942616583193193
383,diazePAM 5 mg tablet,92,1,5,23.072727272727274,39.10046629704643,16,23.072727272727274,62.1731935697737
384,simvastatin 80 mg tablet,92,1,5,174.8780487804878,97.01716664233312,38,174.8780487804878,271.8952154228209
385,hydroxychloroquine 200 mg tablet,92,1,5,215.85365853658536,109.65800494619849,11,215.85365853658536,325.51166348278383
386,naproxen 250 mg tablet,92,1,5,142.85714285714286,84.26997431724168,5,142.85714285714286,227.12711717438452
387,isosorbide mononitrate ER 30 mg/24 hour tablet,92,1,5,140.625,80.72559904036346,12,140.625,221.35059904036348
388,Premarin 0.625 mg tablet,92,1,5,136.55172413793105,74.6073465393018,9,136.55172413793105,211.15907067723285
389,Suprep Bowel Prep 1.6-3.13-17.5g/177 mL oral sol,92,1,5,354.0,0.0,6,354.0,354.0
390,Lumigan 0.01% eye drops [5mL],92,1,5,10.15625,4.303857047332191,9,10.15625,14.46010704733219
391,spironolactone 100 mg tablet,92,1,5,98.18181818181819,55.68930508902676,6,98.18181818181819,153.87112327084495
392,calcitriol 0.25 mcg capsule,92,1,5,156.61290322580646,173.08084381185472,7,156.61290322580646,329.6937470376612
393,Tricor 48 mg tablet,92,1,5,132.69230769230768,57.030356289098705,6,132.69230769230768,189.72266398140638
394,Premarin 0.3 mg tablet,92,1,5,130.92592592592592,88.11964153962057,8,130.92592592592592,219.0455674655465
395,potassium chloride ER 20 mEq tablet (dispersible),92,1,5,362.9032258064516,307.89814739577673,18,362.9032258064516,670.8013732022283
396,Advair Diskus 100-50 mcg inhaler (60EA),92,1,5,237.64705882352942,182.36872796939852,15,237.64705882352942,420.01578679292794
397,Humira 40 mg/0.8 mL syringe [2EA],92,1,5,2.0,0.0,3,2.0,2.0
398,gabapentin 600 mg tablet,92,1,5,440.5,321.29860972336854,21,440.5,761.7986097233686
399,Tricor 145 mg tablet,92,1,5,139.82142857142858,64.03098884499234,15,139.82142857142858,203.8524174164209
400,Cryselle (norgestrel/EE) 0.3/0.03 tablet (28),92,1,5,109.9,50.48269568973674,9,109.9,160.38269568973675
401,Tresiba FlexTouch degludec 100 units/mL [3mL],92,1,5,15.0,0.0,1,15.0,15.0
402,Tradjenta 5 mg tablet,92,1,5,110.0,38.501336875184876,5,110.0,148.50133687518488
403,minoxidil 2.5 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
404,fexofenadine 60 mg tablet,92,1,5,137.83783783783784,104.99034704663555,9,137.83783783783784,242.8281848844734
405,carbidopa-levodopa 25 mg-100 mg tablet,92,1,5,625.1351351351351,443.80533533935306,10,625.1351351351351,1068.9404704744882
406,felodipine ER 2.5 mg/24 hour tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
407,sulindac 200 mg tablet,92,1,5,60.0,0.0,3,60.0,60.0
408,magnesium oxide 400 mg tablet,92,1,5,226.97368421052633,135.7040673058735,10,226.97368421052633,362.67775151639984
409,buPROPion SR 100 mg/12 hour tablet,92,1,5,159.30555555555554,102.97401043659912,9,159.30555555555554,262.27956599215463
410,azaTHIOprine 50 mg tablet,92,1,5,108.375,61.82675858334381,11,108.375,170.2017585833438
411,carvedilol 12.5 mg tablet,92,1,5,308.0,134.71627435566643,20,308.0,442.7162743556664
412,budesonide 0.5 mg/2 mL inhlation susp (2mL),92,1,5,186.92307692307693,64.23514494537899,6,186.92307692307693,251.15822186845594
413,albuterol-ipratropium 2.5-0.5 mg/3 mL inhale soln [3mL],92,1,5,864.0,440.90815370097204,6,864.0,1304.908153700972
414,febuxostat 40 mg tablet,92,1,5,139.28571428571428,89.89279329131054,5,139.28571428571428,229.17850757702482
415,indomethacin ER 75 mg capsule,92,1,5,30.0,0.0,1,30.0,30.0
416,Colcrys 0.6 mg tablet,92,1,5,54.46808510638298,31.75712933570623,11,54.46808510638298,86.22521444208921
417,BD insulin syringe 0.5 ml 30 g 12 mm [100EA],92,1,5,342.85714285714283,137.2442306109034,7,342.85714285714283,480.10137346804623
418,amoxicillin 875 mg tablet,92,1,5,20.606060606060606,9.034445866859357,7,20.606060606060606,29.640506472919963
419,fluorometholone 0.1% eye drops (suspension) [5mL],92,1,5,6.0344827586206895,2.456518422202587,6,6.0344827586206895,8.491001180823277
420,"nystatin 100,000 units/g ointment [30g]",92,1,5,30.0,0.0,2,30.0,30.0
421,lamoTRIgine 200 mg tablet,92,1,5,111.81818181818181,74.80884731342702,3,111.81818181818181,186.62702913160882
422,docusate-senna 50 mg-8.6 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
423,Detrol LA 2 mg/24 hour capsule,92,1,5,112.5,54.320477590999566,8,112.5,166.82047759099956
424,topiramate 25 mg tablet,92,1,5,192.12765957446808,170.70106301358692,11,192.12765957446808,362.82872258805503
425,Bystolic 5 mg tablet,92,1,5,124.13793103448276,50.534093256738934,9,124.13793103448276,174.6720242912217
426,oxyCODONE 5 mg tablet,92,1,5,215.56451612903226,295.72986238650145,17,215.56451612903226,511.2943785155337
427,morphine ER 30 mg tablet,92,1,5,103.125,28.91798748184251,4,103.125,132.04298748184252
428,morphine ER 60 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
429,Vyvanse 30 mg capsule,92,1,5,90.23809523809524,18.005290227887926,5,90.23809523809524,108.24338546598317
430,hydrOXYzine pamoate 50 mg capsule,92,1,5,123.33333333333333,96.36794907641962,8,123.33333333333333,219.70128240975293
431,acetaminophen-codeine 300 mg-30 mg tablet,92,1,5,26.68421052631579,11.085789860993454,4,26.68421052631579,37.770000387309246
432,methylphenidate ER 27 mg/24 hour tablet,92,1,5,104.16666666666667,57.140178508646585,9,104.16666666666667,161.30684517531324
433,triamcinolone 0.1% ointment [454g],92,1,5,454.0,0.0,2,454.0,454.0
434,Micardis 20 mg tablet,92,1,5,136.66666666666666,51.68847176312673,15,136.66666666666666,188.35513842979339
435,Adderall XR 15 mg capsule,92,1,5,65.1063829787234,31.476170450008137,11,65.1063829787234,96.58255342873154
436,U-200 (conc) Tresiba FlexTouch degludec 200 units/mL [3mL],92,1,5,98.18181818181819,22.211790480815278,3,98.18181818181819,120.39360866263347
437,oxyCODONE-acetaminophen 5 mg-325 mg tablet,92,1,5,49.05128205128205,26.91404321162654,8,49.05128205128205,75.96532526290859
438,oxyCODONE-acetaminophen 7.5 mg-325 mg tablet,92,1,5,23.333333333333332,9.75900072948533,3,23.333333333333332,33.092334062818665
439,Synthroid 125 mcg tablet,92,1,5,252.93333333333334,128.26043325491597,33,252.93333333333334,381.19376658824933
440,fentaNYL 50 mcg/hour patch,92,1,5,15.0,0.0,3,15.0,15.0
441,predniSONE 20 mg tablet,92,1,5,22.46268656716418,17.57436869697575,24,22.46268656716418,40.03705526413993
442,diazePAM 10 mg/2 mL autoinjector (2mL),92,1,5,3.282051282051282,1.9187265232401292,13,3.282051282051282,5.200777805291411
443,atropine-pralidoxime 2.1 mg-600 mg/2.7 mL syringe,92,1,5,5.890909090909094,8.395094850855408,13,5.890909090909094,14.286003941764502
444,iOSAT 130 mg tablet,92,1,5,22.974358974358974,13.431085662680905,13,22.974358974358974,36.40544463703988
445,propranolol ER 120 mg/24 hour capsule,92,1,5,152.72727272727272,85.81163303210332,5,152.72727272727272,238.53890575937604
446,carvedilol 6.25 mg tablet,92,1,5,274.375,161.019441802218,14,274.375,435.394441802218
447,norethindrone/EE 1/20 tablet (21),92,1,5,84.0,0.0,4,84.0,84.0
448,bisacodyl EC 5 mg tablet,92,1,5,4.0,0.0,3,4.0,4.0
449,polyethylene glycol 3350 - suspension [238g],92,1,5,317.3333333333333,143.51940001901548,12,317.3333333333333,460.85273335234876
450,sucralfate 1 g tablet,92,1,5,130.53571428571428,68.52870830851741,7,130.53571428571428,199.0644225942317
451,sodium chloride 0.65% nasal spray [44mL],92,1,5,66.95652173913044,32.14099373480648,6,66.95652173913044,99.09751547393691
452,buPROPion 100 mg tablet,92,1,5,120.0,63.245553203367585,2,120.0,183.2455532033676
453,progesterone 100 mg capsule,92,1,5,92.1875,32.20242176827599,7,92.1875,124.389921768276
454,probenecid 500 mg tablet,92,1,5,210.0,87.83100656536799,3,210.0,297.831006565368
455,acyclovir 200 mg capsule,92,1,5,112.5,39.98354924873873,4,112.5,152.48354924873874
456,HYDROmorphone 4 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
457,pramipexole 1 mg tablet,92,1,5,270.0,0.0,1,270.0,270.0
458,Flovent 44 mcg inhaler (10.6g),92,1,5,23.166666666666654,31.552165285430622,12,23.166666666666654,54.718831952097275
459,valsartan 40 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
460,carboxymethylcellulose sodium 0.5% eye drops [15mL],92,1,5,28.983050847457626,16.681076957525473,17,28.983050847457626,45.664127804983096
461,famotidine 20 mg tablet,92,1,5,130.2439024390244,152.09023316567783,11,130.2439024390244,282.3341356047022
462,Viibryd 40 mg tablet,92,1,5,30.0,0.0,3,30.0,30.0
463,clobetasol 0.05% ointment [30g],92,1,5,57.35294117647059,15.4348726628258,7,57.35294117647059,72.78781383929639
464,tacrolimus 0.1% ointment [60g],92,1,5,96.0,30.0,5,96.0,126.0
465,minoxidil 10 mg tablet,92,1,5,180.0,0.0,1,180.0,180.0
466,gatifloxacin 0.5% eye drops [2.5mL],92,1,5,2.5,0.0,2,2.5,2.5
467,phenazopyridine 200 mg tablet,92,1,5,13.222222222222221,10.31082592778732,13,13.222222222222221,23.53304815000954
468,selenium sulfide 2.5% lotion [120mL],92,1,5,240.0,126.49110640673517,2,240.0,366.4911064067352
469,ISOtretinoin (Myorisan) 20 mg capsule,92,1,5,60.0,0.0,4,60.0,60.0
470,cloNIdine 0.1 mg/24 hour weekly patch,92,1,5,4.0,0.0,3,4.0,4.0
471,naratriptan 2.5 mg tablet UD (9EA),92,1,5,13.5,4.743416490252569,2,13.5,18.24341649025257
472,Micardis 40 mg tablet,92,1,5,138.0,74.96439832980154,17,138.0,212.96439832980155
473,prazosin 5 mg capsule,92,1,5,90.0,25.354627641855497,3,90.0,115.3546276418555
474,alendronate 70 mg tablet,92,1,5,24.83582089552239,11.92984164456533,27,24.83582089552239,36.76566254008772
475,doxepin 75 mg capsule,92,1,5,30.0,0.0,2,30.0,30.0
476,verapamil SR 240 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
477,famotidine 40 mg/5 mL oral suspension [50mL],92,1,5,53.333333333333336,12.90994448735806,4,53.333333333333336,66.24327782069139
478,hydrocortisone 2.5% cream [20g],92,1,5,36.0,15.275252316519467,5,36.0,51.27525231651947
479,somatropin (Norditropin) 10 mg/1.5 mL Inj [1.5mL],92,1,5,8.75,5.006939628599934,2,8.75,13.756939628599934
480,topiramate 100 mg tablet,92,1,5,225.0,142.30249470757707,2,225.0,367.30249470757707
481,Linzess 290 mcg capsule,92,1,5,66.66666666666667,34.64101615137755,6,66.66666666666667,101.30768281804421
482,ALPRAZolam 1 mg tablet,92,1,5,50.0,29.277002188455995,3,50.0,79.277002188456
483,ciclopirox 8% topical solution [6.6mL],92,1,5,7.699999999999997,2.5125770591687053,6,7.699999999999997,10.212577059168702
484,doxepin 25 mg capsule,92,1,5,180.0,0.0,1,180.0,180.0
485,hydrALAZINE 10 mg tablet,92,1,5,180.0,94.86832980505137,2,180.0,274.86832980505136
486,primidone 50 mg tablet,92,1,5,170.68965517241378,185.29765696002974,6,170.68965517241378,355.98731213244355
